tau0,success,mode,tau_used,tau_gap,expansions,cost,path_len,max_I_on_path,mean_I_on_path,reason,I_start,I_goal,door_I,wall_I
0.7,1,SAFE_RELAX_TAU,0.8500000000000001,0.15000000000000013,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.71,1,SAFE_RELAX_TAU,0.8500000000000001,0.14000000000000012,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.72,1,SAFE_RELAX_TAU,0.8500000000000001,0.13000000000000012,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.73,1,SAFE_RELAX_TAU,0.8500000000000001,0.1200000000000001,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.74,1,SAFE_RELAX_TAU,0.8500000000000001,0.1100000000000001,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.75,1,SAFE_RELAX_TAU,0.8500000000000001,0.10000000000000009,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.76,1,SAFE_RELAX_TAU,0.8500000000000001,0.09000000000000008,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.77,1,SAFE_RELAX_TAU,0.8500000000000001,0.08000000000000007,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.78,1,SAFE_RELAX_TAU,0.8500000000000001,0.07000000000000006,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.79,1,SAFE_RELAX_TAU,0.8500000000000001,0.06000000000000005,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.8,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.81,1,SAFE_RELAX_TAU,0.8500000000000001,0.040000000000000036,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.82,1,SAFE_RELAX_TAU,0.85,0.030000000000000027,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.83,1,SAFE_RELAX_TAU,0.85,0.020000000000000018,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.84,1,SAFE_RELAX_TAU,0.85,0.010000000000000009,226,44.0,45,0.85,0.48000000000000004,relaxed tau to minimal feasible threshold,0.0,0.0,0.6,0.95
0.85,1,NORMAL,0.85,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.86,1,NORMAL,0.86,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.87,1,NORMAL,0.87,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.88,1,NORMAL,0.88,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.89,1,NORMAL,0.89,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.9,1,NORMAL,0.9,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.91,1,NORMAL,0.91,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.92,1,NORMAL,0.92,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.93,1,NORMAL,0.93,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.94,1,NORMAL,0.94,0.0,226,44.0,45,0.85,0.48000000000000004,ok,0.0,0.0,0.6,0.95
0.95,1,NORMAL,0.95,0.0,408,44.0,45,0.95,0.32555555555555554,ok,0.0,0.0,0.6,0.95
