score_variance,label
0.001093664,0.0
0.0013322396,0.0
0.0020621484,0.0
0.0031312902,0.0
0.0009816574,0.0
0.0038463406,0.0
0.0029527796,0.0
0.0044997977,0.0
0.0053525264,0.0
0.0053319666,0.0
0.00643739,0.0
0.0009168732,0.0
0.0009326778,0.0
0.0013611247,0.0
0.00058390864,0.0
0.0011642121,0.0
0.00083341246,0.0
0.001531902,0.0
0.0021004237,0.0
0.0029488984,0.0
0.0029755498,0.0
0.0027549206,0.0
0.0020286622,0.0
0.005823551,0.0
0.0045961696,0.0
0.006491706,0.0
0.0043372274,0.0
0.0024694835,0.0
0.0027471422,0.0
0.0023944927,0.0
0.003662814,0.0
0.0025749796,0.0
0.0016241872,0.0
0.0023560186,0.0
0.003531651,0.0
0.0010694502,0.0
0.0009845111,0.0
0.0012006485,0.0
0.0009485812,0.0
0.001333826,0.0
0.0010939295,0.0
0.0011691614,0.0
0.0010509251,0.0
0.0029620666,0.0
0.0037469326,0.0
0.0023076283,0.0
0.0072211456,0.0
0.0010549867,0.0
0.004894957,0.0
0.002520895,0.0
0.0034670024,0.0
0.0044343187,0.0
0.0016975853,0.0
0.0069460506,0.0
0.003972313,0.0
0.00088468555,0.0
0.0067501203,0.0
0.0032978293,0.0
0.0055085258,0.0
0.0049292007,0.0
0.0011800112,0.0
0.0011769425,0.0
0.0010625849,0.0
0.0007988074,0.0
0.0011511409,0.0
0.007376356,0.0
0.002290572,0.0
0.0041281516,0.0
0.003999576,0.0
0.0049653035,0.0
0.0019645945,0.0
0.00093980576,0.0
0.0013196674,0.0
0.0015040732,0.0
0.0014977256,0.0
0.002242655,0.0
0.0007447283,0.0
0.0029897816,0.0
0.0037202549,0.0
0.0009984624,0.0
0.01711276,1.0
0.0957816,1.0
0.03583374,1.0
0.081477314,1.0
0.019785905,1.0
0.009516491,1.0
0.033284005,1.0
0.15684684,1.0
0.07198425,1.0
0.023758668,1.0
0.2076504,1.0
0.011757436,1.0
0.08628214,1.0
0.048458155,1.0
0.05505507,1.0
0.028714342,1.0
0.005102811,1.0
0.035649795,1.0
0.1567793,1.0
0.07489101,1.0
0.10142747,1.0
0.15531503,1.0
0.4798402,1.0
0.01515467,1.0
0.16147484,1.0
0.041768994,1.0
0.14378457,1.0
0.107437104,1.0
0.026042068,1.0
0.14380418,1.0
0.072454296,1.0
0.025001992,1.0
0.11514937,1.0
0.3115912,1.0
0.08982531,1.0
0.036945894,1.0
0.03494088,1.0
0.14448223,1.0
0.09657096,1.0
0.15582536,1.0
0.17813452,1.0
0.07400534,1.0
0.06367853,1.0
0.23292017,1.0
0.076429196,1.0
0.012673252,1.0
0.115655,1.0
0.14109689,1.0
0.014996251,1.0
0.21900405,1.0
0.36933377,1.0
0.023995647,1.0
0.039012972,1.0
0.44722313,1.0
0.04089868,1.0
0.12015598,1.0
0.25543538,1.0
0.0355177,1.0
0.23709732,1.0
0.027581187,1.0
0.006527133,1.0
0.025868388,1.0
0.24125607,1.0
0.03262542,1.0
0.11553333,1.0
0.111708574,1.0
1.238129,1.0
0.119523175,1.0
0.004592873,1.0
0.59981287,1.0
0.25472778,1.0
0.14694118,1.0
0.24229969,1.0
0.027662186,1.0
0.0047782036,1.0
0.033115126,1.0
0.0357429,1.0
0.08507905,1.0
0.029181985,1.0
0.13684121,1.0
