step,policy,any_safe_mode,robot_id,self_trust_S,expected_drift,observed_drift,calibration_error,total_distance,total_risk,max_risk,total_cost
0,NORMAL_POLICY,0,0,0.9047,0.2989,0.27,0.2382,1.1,1.2,0.9,4.9
0,NORMAL_POLICY,0,1,0.9047,0.2989,0.27,0.2382,1.1,1.2,0.9,4.9
0,NORMAL_POLICY,0,2,0.9047,0.2989,0.27,0.2382,1.1,1.2,0.9,4.9
1,NORMAL_POLICY,0,0,0.8098,0.2011,0.3434,0.262,1.1,1.2,0.9,4.9
1,NORMAL_POLICY,0,1,0.8098,0.2011,0.3434,0.262,1.1,1.2,0.9,4.9
1,NORMAL_POLICY,0,2,0.8098,0.2011,0.3434,0.262,1.1,1.2,0.9,4.9
2,NORMAL_POLICY,0,0,0.921,0.2448,0.2424,0.1975,1.1,1.2,0.9,4.9
2,NORMAL_POLICY,0,1,0.921,0.2448,0.2424,0.1975,1.1,1.2,0.9,4.9
2,NORMAL_POLICY,0,2,0.921,0.2448,0.2424,0.1975,1.1,1.2,0.9,4.9
3,NORMAL_POLICY,0,0,0.9318,0.3227,0.2572,0.1705,1.1,1.2,0.9,4.9
3,NORMAL_POLICY,0,1,0.9318,0.3227,0.2572,0.1705,1.1,1.2,0.9,4.9
3,NORMAL_POLICY,0,2,0.9318,0.3227,0.2572,0.1705,1.1,1.2,0.9,4.9
4,NORMAL_POLICY,0,0,0.9248,0.2722,0.2561,0.1881,1.1,1.2,0.9,4.9
4,NORMAL_POLICY,0,1,0.9248,0.2722,0.2561,0.1881,1.1,1.2,0.9,4.9
4,NORMAL_POLICY,0,2,0.9248,0.2722,0.2561,0.1881,1.1,1.2,0.9,4.9
5,SAFE_MODE_POLICY,1,0,0.4097,0.2397,0.9747,0.3734,4.0,0.4,0.2,10.4
5,SAFE_MODE_POLICY,1,1,0.4097,0.2397,0.9747,0.3734,4.0,0.4,0.2,10.4
5,SAFE_MODE_POLICY,1,2,0.4097,0.2397,0.9747,0.3734,4.0,0.4,0.2,10.4
6,SAFE_MODE_POLICY,1,0,0.4103,0.1224,0.8573,0.3719,4.0,0.4,0.2,10.4
6,SAFE_MODE_POLICY,1,1,0.4103,0.1224,0.8573,0.3719,4.0,0.4,0.2,10.4
6,SAFE_MODE_POLICY,1,2,0.4103,0.1224,0.8573,0.3719,4.0,0.4,0.2,10.4
7,SAFE_MODE_POLICY,1,0,0.4035,0.2129,0.9432,0.3958,4.0,0.4,0.2,10.4
7,SAFE_MODE_POLICY,1,1,0.4035,0.2129,0.9432,0.3958,4.0,0.4,0.2,10.4
7,SAFE_MODE_POLICY,1,2,0.4035,0.2129,0.9432,0.3958,4.0,0.4,0.2,10.4
8,SAFE_MODE_POLICY,1,0,0.4515,0.2523,0.8273,0.5089,4.0,0.4,0.2,10.4
8,SAFE_MODE_POLICY,1,1,0.4515,0.2523,0.8273,0.5089,4.0,0.4,0.2,10.4
8,SAFE_MODE_POLICY,1,2,0.4515,0.2523,0.8273,0.5089,4.0,0.4,0.2,10.4
9,SAFE_MODE_POLICY,1,0,0.4733,0.3235,0.9766,0.3369,4.0,0.4,0.2,10.4
9,SAFE_MODE_POLICY,1,1,0.4733,0.3235,0.9766,0.3369,4.0,0.4,0.2,10.4
9,SAFE_MODE_POLICY,1,2,0.4733,0.3235,0.9766,0.3369,4.0,0.4,0.2,10.4
