episode,lambda_before,lambda_after,fused_risk,target_risk_effective,geom_length,num_cells,distance_to_goal,success
0,0.5,0.6258158565634538,16.258158565634538,15.0,71.0,71,0.0,1
1,0.6258158565634538,0.7516317131269077,16.258158565634538,15.0,71.0,71,0.0,1
2,0.7516317131269077,0.8774475696903615,16.258158565634538,15.0,71.0,71,0.0,1
3,0.8774475696903615,1.0032634262538154,16.258158565634538,15.0,71.0,71,0.0,1
4,1.0032634262538154,1.129079282817269,16.258158565634538,15.0,71.0,71,0.0,1
5,1.129079282817269,1.2548951393807228,16.258158565634538,15.0,71.0,71,0.0,1
6,1.2548951393807228,1.3807109959441766,16.258158565634538,15.0,71.0,71,0.0,1
7,1.3807109959441766,1.5065268525076303,16.258158565634538,15.0,71.0,71,0.0,1
8,1.5065268525076303,1.632342709071084,16.258158565634538,15.0,71.0,71,0.0,1
9,1.632342709071084,1.7581585656345378,16.258158565634538,15.0,71.0,71,0.0,1
10,1.7581585656345378,1.8839744221979915,16.258158565634538,15.0,71.0,71,0.0,1
11,1.8839744221979915,2.0097902787614452,16.258158565634538,15.0,71.0,71,0.0,1
12,2.0097902787614452,2.135606135324899,16.258158565634538,15.0,71.0,71,0.0,1
13,2.135606135324899,2.2614219918883527,16.258158565634538,15.0,71.0,71,0.0,1
14,2.2614219918883527,2.3872378484518064,16.258158565634538,15.0,71.0,71,0.0,1
15,2.3872378484518064,2.51305370501526,16.258158565634538,15.0,71.0,71,0.0,1
16,2.51305370501526,2.638869561578714,16.258158565634538,15.0,71.0,71,0.0,1
17,2.638869561578714,2.7646854181421676,16.258158565634538,15.0,71.0,71,0.0,1
18,2.7646854181421676,2.8905012747056213,16.258158565634538,15.0,71.0,71,0.0,1
19,2.8905012747056213,3.016317131269075,16.258158565634538,15.0,71.0,71,0.0,1
