step,coverage_ratio,mean_priority
0,0.0023603461841070024,0.6466876971608833
1,0.004720692368214005,0.6463241106719367
2,0.007081038552321007,0.645958795562599
3,0.00944138473642801,0.6455917394757745
4,0.011801730920535013,0.6452229299363058
5,0.014162077104642014,0.644852354349561
6,0.016522423288749016,0.64448
7,0.01888276947285602,0.6441058540497193
8,0.021243115656963022,0.6437299035369776
9,0.023603461841070025,0.6433521353746979
10,0.025963808025177025,0.6429725363489499
11,0.02832415420928403,0.6425910931174089
12,0.03068450039339103,0.6422077922077922
13,0.03304484657749803,0.6418226200162734
14,0.03540519276160504,0.6414355628058729
15,0.03776553894571204,0.6410466067048242
16,0.04012588512981904,0.640655737704918
17,0.042486231313926044,0.6402629416598192
18,0.044846577498033044,0.6398682042833609
19,0.04720692368214005,0.6394715111478118
20,0.04956726986624705,0.6390728476821192
21,0.05192761605035405,0.6386721991701245
22,0.05428796223446106,0.6382695507487521
23,0.05664830841856806,0.6378648874061719
24,0.059008654602675056,0.6374581939799332
25,0.06136900078678206,0.6370494551550713
26,0.06372934697088907,0.6366386554621849
27,0.06608969315499606,0.6362257792754844
28,0.06845003933910307,0.6358108108108109
29,0.07081038552321008,0.6353937341236241
30,0.07317073170731707,0.634974533106961
31,0.07553107789142408,0.6345531914893617
32,0.07789142407553108,0.6341296928327645
33,0.08025177025963807,0.6337040205303679
34,0.08261211644374508,0.6332761578044598
35,0.08497246262785209,0.6328460877042132
36,0.08733280881195908,0.6324137931034483
37,0.08969315499606609,0.6319792566983579
38,0.0920535011801731,0.6315424610051994
39,0.0944138473642801,0.6311033883579497
40,0.0967741935483871,0.6306620209059234
41,0.0991345397324941,0.6302183406113537
42,0.10149488591660111,0.6297723292469353
43,0.1038552321007081,0.6293239683933275
44,0.10621557828481511,0.6288732394366198
45,0.10857592446892211,0.6284201235657546
46,0.1109362706530291,0.6279646017699115
47,0.11329661683713611,0.6275066548358474
48,0.11565696302124312,0.6270462633451958
49,0.11801730920535011,0.6265834076717217
50,0.12037765538945712,0.6261180679785331
51,0.12273800157356413,0.6256502242152466
52,0.12509834775767112,0.625179856115108
53,0.12745869394177814,0.624706943192065
54,0.12981904012588513,0.6242314647377939
55,0.13217938630999213,0.6237533998186764
56,0.13453973249409915,0.6232727272727273
57,0.13690007867820614,0.6227894257064722
58,0.13926042486231313,0.6223034734917734
59,0.14162077104642015,0.6218148487626032
