lambda,success,total_cost,geo_cost,path_len,expansions,max_I_on_path,mean_I_on_path,I_start,I_goal,door_I,wall_I,reason
0.0,1,44.0,44.0,45,408,0.95,0.59,0.0,0.0,0.6,0.95,ok
0.1,1,44.87,44.0,45,225,0.95,0.19333333333333333,0.0,0.0,0.6,0.95,ok
0.25,1,46.175,44.0,45,212,0.95,0.19333333333333333,0.0,0.0,0.6,0.95,ok
0.5,1,48.35,44.0,45,251,0.95,0.19333333333333333,0.0,0.0,0.6,0.95,ok
0.75,1,50.525,44.0,45,313,0.95,0.19333333333333333,0.0,0.0,0.6,0.95,ok
1.0,1,52.15,46.0,47,309,0.95,0.13085106382978723,0.0,0.0,0.6,0.95,ok
1.5,1,54.675,48.0,49,338,0.95,0.09081632653061225,0.0,0.0,0.6,0.95,ok
2.0,1,55.8,52.0,53,324,0.95,0.035849056603773584,0.0,0.0,0.6,0.95,ok
3.0,1,57.7,52.0,53,303,0.95,0.035849056603773584,0.0,0.0,0.6,0.95,ok
5.0,1,61.5,52.0,53,296,0.95,0.035849056603773584,0.0,0.0,0.6,0.95,ok
8.0,1,67.2,52.0,53,314,0.95,0.035849056603773584,0.0,0.0,0.6,0.95,ok
12.0,1,74.8,52.0,53,313,0.95,0.035849056603773584,0.0,0.0,0.6,0.95,ok
